iter	RMSE
0	0.4017743228
1	0.399193925
2	0.3965400145
3	0.3940499797
4	0.3915463818
5	0.3892350604
6	0.3868785455
7	0.3845052007
8	0.3821104647
9	0.3797537743
10	0.3773931709
11	0.3750766532
12	0.3729712371
13	0.3705284419
14	0.3681499615
15	0.3660754963
16	0.363900473
17	0.3618514232
18	0.3597540001
19	0.3574966784
20	0.3553788585
21	0.353404728
22	0.3511600449
23	0.3491402081
24	0.3471032194
25	0.3451352514
26	0.3430524993
27	0.3411306405
28	0.3391794165
29	0.3373397955
30	0.3353196199
31	0.3333838767
32	0.3312799542
33	0.3295635984
34	0.327621508
35	0.3256344962
36	0.3237536151
37	0.3219935357
38	0.3200737122
39	0.3184171104
40	0.3165669893
41	0.3148269276
42	0.312938787
43	0.3113250962
44	0.3098097957
45	0.3080796227
46	0.3063192753
47	0.3048116226
48	0.3031036175
49	0.3013256144
50	0.2997901931
51	0.2982684452
52	0.2965870253
53	0.2949815125
54	0.2934834674
55	0.2917691019
56	0.2902342012
57	0.2886348934
58	0.2870420514
59	0.2856148449
60	0.2842755789
61	0.2827946261
62	0.2813179739
63	0.2799754164
64	0.2784439511
65	0.2771608114
66	0.2757448751
67	0.2742984042
68	0.2729285143
69	0.2716636951
70	0.2702333219
71	0.2689800482
72	0.2677033756
73	0.2663768604
74	0.2650145439
75	0.2636967615
76	0.2625125474
77	0.2612081726
78	0.2599423069
79	0.2587169555
80	0.2574971728
81	0.2563681434
82	0.255129331
83	0.2540189806
84	0.2528171186
85	0.2515977414
86	0.2503136121
87	0.2491697745
88	0.2480483029
89	0.2468627511
90	0.2456981242
91	0.2445310774
92	0.243386255
93	0.2421737957
94	0.2410677145
95	0.2399100877
96	0.2387841577
97	0.2376195204
98	0.2365594057
99	0.2354793276
100	0.2345428647
101	0.2334083381
102	0.2324165787
103	0.2314013921
104	0.2304779451
105	0.2294140157
106	0.2284993931
107	0.2275435436
108	0.2265714639
109	0.2255917512
110	0.2246423858
111	0.2236119248
112	0.2226048483
113	0.2215507723
114	0.2205473096
115	0.2196735127
116	0.2186714938
117	0.2177488192
118	0.2168095604
119	0.2159469543
120	0.2151330689
121	0.2142660769
122	0.2134065392
123	0.2125615947
124	0.2117583081
125	0.2108968847
126	0.2100544706
127	0.2092338181
128	0.2084418453
129	0.2075528417
130	0.2068081771
131	0.205956763
132	0.2051503506
133	0.204412158
134	0.2036505639
135	0.202854078
136	0.2020738911
137	0.201281846
138	0.2005626015
139	0.1997402056
140	0.1990461554
141	0.1983842729
142	0.197712653
143	0.1969672412
144	0.1962378154
145	0.1955881755
146	0.1949052885
147	0.1942962625
148	0.1935980472
149	0.1928895079
150	0.1922524122
151	0.1915512829
152	0.1909600453
153	0.190314761
154	0.1896995978
155	0.1890538309
156	0.1884566004
157	0.1878925607
158	0.1872724736
159	0.1866533771
160	0.1861021022
161	0.1855388132
162	0.1849439388
163	0.1843940533
164	0.1837773935
165	0.1832291446
166	0.1826006343
167	0.1819851919
168	0.1814032504
169	0.1808726253
170	0.1803380965
171	0.1797641489
172	0.1792411635
173	0.1787758091
174	0.1782386063
175	0.1776630657
176	0.1770993573
177	0.1765814696
178	0.1760964467
179	0.1755915586
180	0.1750906085
181	0.1746033232
182	0.1740902419
183	0.1736342453
184	0.1731411167
185	0.1726439214
186	0.1720956184
187	0.1716179342
188	0.1711568737
189	0.1706619804
190	0.1701821223
191	0.1697099918
192	0.1691958166
193	0.1687779157
194	0.1683522997
195	0.1679017576
196	0.1674230621
197	0.1669966288
198	0.1666007912
199	0.1661856866
200	0.1657563271
201	0.1653738846
202	0.1649705507
203	0.1645785199
204	0.1640902388
205	0.1636834549
206	0.1632678996
207	0.1628420615
208	0.1624250668
209	0.1619993073
210	0.161551096
211	0.1611891526
212	0.1608059695
213	0.1604563348
214	0.1600627919
215	0.159747999
216	0.1593805198
217	0.1590261742
218	0.1586953932
219	0.1583267005
220	0.1579206107
221	0.1575992397
222	0.1572679579
223	0.1568779908
224	0.1565379113
225	0.1562163059
226	0.1558993151
227	0.1556113741
228	0.1552793463
229	0.1549757977
230	0.1546615371
231	0.1543758673
232	0.153990342
233	0.1536454323
234	0.1533428984
235	0.152984103
236	0.1526709132
237	0.152382583
238	0.1520243055
239	0.1517122403
240	0.1514094944
241	0.1511379064
242	0.1508475556
243	0.1505629672
244	0.1503106389
245	0.1500389707
246	0.1497151976
247	0.1494539566
248	0.1491623675
249	0.148905112
250	0.1486486867
251	0.1483290243
252	0.1480529194
253	0.1477920469
254	0.147532341
255	0.1472839581
256	0.1470047369
257	0.1467277425
258	0.1464600718
259	0.1461602507
260	0.1459044409
261	0.1456349002
262	0.1453743505
263	0.1451292742
264	0.1448831681
265	0.1446393573
266	0.1443698997
267	0.1441315535
268	0.1438907833
269	0.1436385564
270	0.1434503806
271	0.1432211487
272	0.1430150886
273	0.1427500797
274	0.1424647414
275	0.1422661797
276	0.14203353
277	0.1418087324
278	0.1416063039
279	0.1413333695
280	0.1410886366
281	0.140852685
282	0.1406163324
283	0.1403694525
284	0.1401494318
285	0.1399013213
286	0.1396951683
287	0.1394811842
288	0.139262673
289	0.1390303582
290	0.1388341512
291	0.1386344749
292	0.1384650104
293	0.1382110782
294	0.1380077901
295	0.1378071824
296	0.1376192549
297	0.1373732257
298	0.1371721764
299	0.1369877304
300	0.1367780287
301	0.1365793395
302	0.1363436727
303	0.1361352028
304	0.1359320993
305	0.1357689463
306	0.1355736763
307	0.1353844597
308	0.1351973561
309	0.1349929868
310	0.1347889471
311	0.1346061962
312	0.1344343197
313	0.134244251
314	0.1340551691
315	0.1338844772
316	0.1337023246
317	0.1335308155
318	0.1333380756
319	0.1331795997
320	0.1330002654
321	0.1328143012
322	0.1326671621
323	0.1324846638
324	0.1322966496
325	0.1321075987
326	0.1319093092
327	0.1317301669
328	0.1315451924
329	0.1313569998
330	0.1312000498
331	0.13105074
332	0.1309063871
333	0.1307624697
334	0.1306036388
335	0.1304547466
336	0.1302710051
337	0.1300992416
338	0.1299768781
339	0.1298212092
340	0.1296921237
341	0.1295153631
342	0.1293582153
343	0.1292263148
344	0.1290684854
345	0.1289276293
346	0.1287783017
347	0.128650359
348	0.1285016234
349	0.1283340221
350	0.128198647
351	0.1280620591
352	0.127922457
353	0.1277600953
354	0.1276462242
355	0.1274569741
356	0.1273542236
357	0.1271963423
358	0.1270690566
359	0.1269066835
360	0.1267643099
361	0.1266493811
362	0.1264881794
363	0.1263546794
364	0.1262358272
365	0.1261146747
366	0.1259632384
367	0.1258142776
368	0.1257052297
369	0.1255799465
370	0.1254260456
371	0.1252972716
372	0.1251701683
373	0.1250455736
374	0.124904303
375	0.1247944962
376	0.124652061
377	0.1245676093
378	0.1244501384
379	0.1243204378
380	0.1242012375
381	0.1240801945
382	0.1239415667
383	0.1238270547
384	0.1237058068
385	0.1235880332
386	0.1234385754
387	0.1232947272
388	0.1231337202
389	0.1230123227
390	0.122917264
391	0.1227962861
392	0.1226572676
393	0.122545694
394	0.1224107309
395	0.1222852073
396	0.122163903
397	0.1220276169
398	0.1219407695
399	0.1218187979
400	0.1217062883
401	0.1215919352
402	0.1214800051
403	0.1213789075
404	0.1212468758
405	0.1211654829
406	0.1210324148
407	0.1209221218
408	0.1208026064
409	0.1206809197
410	0.1205628724
411	0.1204598074
412	0.1203479448
413	0.1202086866
414	0.1201214992
415	0.1200343266
416	0.1198952547
417	0.1197690252
418	0.1196467844
419	0.1195572368
420	0.1194183704
421	0.119332774
422	0.1192131851
423	0.119081438
424	0.118997794
425	0.1188574402
426	0.1187478343
427	0.118624998
428	0.1185287112
429	0.1184387978
430	0.1183464715
431	0.1182439042
432	0.1181526751
433	0.1180719579
434	0.1179706044
435	0.1178534093
436	0.1177663178
437	0.1176672955
438	0.1175874657
439	0.1174787927
440	0.1173943874
441	0.1173311708
442	0.1172063003
443	0.1171104358
444	0.117031036
445	0.1169242249
446	0.1168521803
447	0.1167508366
448	0.116666003
449	0.1165438512
450	0.1164464075
451	0.116367008
452	0.1162367689
453	0.1161322086
454	0.1160514069
455	0.1159489502
456	0.1158667775
457	0.1157555161
458	0.1156861382
459	0.1156154582
460	0.1155267366
