iter	Passed	Remaining
694	2797	5253
695	2801	5247
696	2804	5243
697	2808	5238
698	2811	5232
699	2814	5227
700	2818	5222
701	2821	5217
702	2825	5212
703	2828	5207
704	2831	5201
705	2835	5197
706	2838	5191
707	2842	5186
708	2845	5181
709	2848	5176
710	2852	5171
711	2856	5166
712	2859	5161
713	2863	5156
714	2866	5152
715	2870	5147
716	2873	5142
717	2877	5138
718	2881	5134
719	2884	5128
720	2888	5123
721	2892	5119
722	2896	5115
723	2899	5109
724	2902	5105
725	2906	5100
726	2910	5095
727	2913	5090
728	2917	5085
729	2921	5082
730	2925	5077
731	2928	5073
732	2932	5068
733	2936	5064
734	2939	5059
735	2942	5054
736	2946	5049
737	2950	5044
738	2953	5039
739	2956	5034
740	2960	5029
741	2963	5024
742	2967	5020
743	2970	5015
744	2974	5010
745	2977	5005
746	2981	5001
747	2984	4996
748	2988	4991
749	2991	4986
750	2995	4982
751	2999	4978
752	3003	4974
753	3007	4969
754	3011	4965
755	3014	4961
756	3018	4955
757	3021	4950
758	3025	4946
759	3028	4941
760	3032	4936
761	3035	4932
762	3039	4927
763	3043	4923
764	3046	4918
765	3050	4913
766	3054	4909
767	3057	4904
768	3060	4899
769	3064	4894
770	3067	4889
771	3071	4885
772	3075	4881
773	3078	4876
774	3082	4872
775	3086	4868
776	3090	4863
777	3093	4859
778	3096	4853
779	3100	4850
780	3104	4845
781	3108	4840
782	3111	4835
783	3114	4831
784	3118	4826
785	3121	4821
786	3125	4816
787	3128	4812
788	3132	4807
789	3135	4802
790	3139	4797
791	3142	4793
792	3146	4788
793	3149	4783
794	3153	4779
795	3156	4774
796	3160	4770
797	3163	4765
798	3166	4760
799	3170	4755
800	3173	4750
801	3177	4746
802	3180	4741
803	3184	4737
804	3187	4732
805	3191	4727
806	3194	4722
807	3197	4717
808	3201	4713
809	3204	4708
810	3208	4703
811	3211	4698
812	3215	4694
813	3218	4689
814	3222	4685
815	3225	4680
816	3228	4675
817	3232	4670
818	3237	4667
819	3249	4676
820	3261	4684
821	3270	4687
822	3277	4687
823	3285	4688
824	3292	4689
825	3302	4694
826	3310	4695
827	3316	4693
828	3321	4691
829	3326	4688
830	3330	4685
831	3334	4681
832	3339	4678
833	3344	4675
834	3348	4671
835	3353	4669
836	3358	4666
837	3362	4662
838	3367	4659
839	3372	4656
840	3376	4652
841	3380	4649
842	3385	4646
843	3389	4642
844	3394	4639
845	3399	4636
846	3403	4633
847	3407	4629
848	3412	4626
849	3417	4623
850	3421	4620
851	3426	4616
852	3431	4614
853	3436	4611
854	3440	4608
855	3447	4606
856	3451	4603
857	3456	4600
858	3461	4598
859	3466	4595
860	3470	4591
861	3475	4587
862	3479	4584
863	3484	4581
864	3488	4577
865	3493	4575
866	3498	4571
867	3502	4567
868	3507	4564
869	3512	4561
870	3516	4558
871	3521	4555
872	3526	4552
873	3530	4548
874	3534	4544
875	3539	4541
876	3544	4539
877	3549	4536
878	3554	4533
879	3560	4531
880	3566	4529
881	3571	4526
882	3576	4523
883	3580	4520
884	3591	4524
885	3596	4521
886	3602	4520
887	3608	4518
888	3612	4515
889	3617	4511
890	3621	4507
891	3625	4503
892	3629	4499
893	3634	4496
894	3638	4492
895	3643	4489
896	3647	4485
897	3652	4481
898	3657	4478
899	3661	4475
900	3665	4471
901	3669	4466
902	3672	4461
903	3676	4457
904	3679	4452
905	3683	4447
906	3686	4442
907	3689	4437
908	3693	4432
909	3696	4427
910	3699	4422
911	3703	4418
912	3706	4413
913	3710	4408
914	3714	4404
915	3717	4399
916	3720	4394
917	3724	4389
918	3727	4384
919	3731	4380
920	3734	4375
921	3738	4370
922	3742	4366
923	3745	4361
924	3748	4356
925	3752	4351
926	3755	4347
927	3759	4342
928	3762	4337
929	3766	4333
930	3769	4328
931	3772	4323
932	3776	4319
933	3779	4314
934	3783	4309
935	3786	4304
936	3790	4299
937	3793	4295
938	3797	4290
939	3800	4285
940	3803	4280
941	3807	4276
942	3810	4271
943	3814	4266
944	3817	4261
945	3820	4257
946	3824	4252
947	3827	4247
948	3831	4243
949	3835	4239
950	3838	4234
951	3842	4229
952	3845	4225
953	3848	4220
954	3852	4215
955	3855	4210
956	3859	4206
957	3862	4201
958	3866	4197
959	3870	4192
960	3873	4188
961	3877	4183
962	3880	4179
963	3884	4174
964	3887	4169
965	3891	4165
966	3895	4161
967	3898	4156
968	3902	4152
969	3906	4147
970	3910	4143
971	3914	4140
972	3918	4136
973	3922	4131
974	3925	4127
975	3929	4122
976	3932	4118
977	3936	4113
978	3940	4109
979	3943	4104
980	3947	4100
981	3950	4095
982	3954	4091
983	3958	4086
984	3961	4082
985	3966	4079
986	3971	4076
987	3975	4072
988	3980	4068
989	3983	4064
990	3988	4061
991	3992	4056
992	3996	4052
993	4001	4049
994	4005	4045
995	4009	4041
996	4013	4037
997	4017	4033
998	4021	4029
999	4025	4025
1000	4029	4021
1001	4033	4017
1002	4037	4013
1003	4041	4009
1004	4045	4005
1005	4050	4001
1006	4053	3997
1007	4058	3994
1008	4063	3990
1009	4067	3986
1010	4071	3982
1011	4075	3978
1012	4079	3974
1013	4083	3970
1014	4087	3966
1015	4092	3963
1016	4095	3959
1017	4099	3954
1018	4102	3949
1019	4106	3945
1020	4109	3940
1021	4113	3936
1022	4116	3931
1023	4119	3926
1024	4123	3922
1025	4126	3917
1026	4130	3912
1027	4133	3908
1028	4136	3903
1029	4140	3899
1030	4143	3894
1031	4147	3889
1032	4151	3885
1033	4155	3881
1034	4158	3877
1035	4162	3873
1036	4165	3868
1037	4169	3864
1038	4173	3860
1039	4176	3855
1040	4180	3851
1041	4184	3847
1042	4188	3843
1043	4192	3838
1044	4195	3834
1045	4199	3830
1046	4203	3825
1047	4207	3821
1048	4210	3817
1049	4214	3812
1050	4217	3808
1051	4222	3805
1052	4227	3801
1053	4231	3797
1054	4235	3793
1055	4239	3789
1056	4242	3785
1057	4246	3781
1058	4250	3776
1059	4254	3773
1060	4258	3768
1061	4262	3764
1062	4265	3759
1063	4269	3756
1064	4273	3751
1065	4277	3747
1066	4280	3743
1067	4285	3739
1068	4289	3735
1069	4293	3731
1070	4297	3727
1071	4302	3724
1072	4305	3719
1073	4309	3715
1074	4312	3710
1075	4316	3707
1076	4320	3702
1077	4324	3698
1078	4328	3694
1079	4332	3690
1080	4336	3686
1081	4340	3682
1082	4349	3682
1083	4353	3678
1084	4357	3674
1085	4361	3670
1086	4364	3666
1087	4368	3662
1088	4372	3657
1089	4376	3653
1090	4381	3650
1091	4385	3646
1092	4389	3642
1093	4393	3638
1094	4396	3634
1095	4401	3630
1096	4404	3625
1097	4409	3621
1098	4412	3617
1099	4416	3613
1100	4422	3611
1101	4426	3606
1102	4430	3603
1103	4434	3598
1104	4438	3594
1105	4442	3591
1106	4446	3587
1107	4451	3583
1108	4454	3578
1109	4458	3575
1110	4462	3571
1111	4466	3566
1112	4471	3563
1113	4474	3558
1114	4478	3554
1115	4482	3550
1116	4486	3546
1117	4490	3542
1118	4494	3538
1119	4498	3534
1120	4502	3530
1121	4506	3526
1122	4511	3523
1123	4515	3518
1124	4519	3515
1125	4526	3513
1126	4530	3509
1127	4535	3505
1128	4538	3501
1129	4543	3498
1130	4547	3494
1131	4552	3490
1132	4556	3486
1133	4561	3483
1134	4565	3479
1135	4570	3476
1136	4574	3472
1137	4578	3468
1138	4582	3463
1139	4585	3459
1140	4589	3455
1141	4592	3450
1142	4597	3446
1143	4600	3442
1144	4604	3438
1145	4608	3434
1146	4611	3429
1147	4615	3425
1148	4618	3420
1149	4621	3416
1150	4625	3411
1151	4629	3407
1152	4632	3403
1153	4636	3398
1154	4639	3394
1155	4643	3390
1156	4647	3385
1157	4650	3381
1158	4654	3377
1159	4657	3372
1160	4661	3368
1161	4665	3364
1162	4669	3360
1163	4672	3355
1164	4676	3351
1165	4680	3347
1166	4685	3344
1167	4688	3339
1168	4692	3335
1169	4696	3331
1170	4701	3328
1171	4705	3324
1172	4709	3320
1173	4714	3316
1174	4719	3313
1175	4722	3308
1176	4726	3305
1177	4730	3300
1178	4735	3297
1179	4739	3293
1180	4743	3289
1181	4748	3286
1182	4753	3282
1183	4756	3278
1184	4761	3274
1185	4766	3271
1186	4770	3267
1187	4774	3263
1188	4778	3259
1189	4783	3255
1190	4786	3251
1191	4791	3247
1192	4795	3243
1193	4800	3240
1194	4803	3236
1195	4807	3231
1196	4810	3227
1197	4814	3223
1198	4818	3218
1199	4822	3215
1200	4826	3211
1201	4831	3207
1202	4835	3203
1203	4838	3198
1204	4843	3195
1205	4847	3191
1206	4851	3187
1207	4854	3182
1208	4857	3178
1209	4861	3173
1210	4865	3169
1211	4868	3165
1212	4873	3161
1213	4876	3157
1214	4880	3153
1215	4884	3148
1216	4887	3144
1217	4891	3140
1218	4894	3136
1219	4898	3131
1220	4901	3127
1221	4905	3123
1222	4909	3119
1223	4913	3115
1224	4916	3110
1225	4920	3106
1226	4924	3102
1227	4928	3098
1228	4931	3094
1229	4935	3089
1230	4938	3085
1231	4942	3080
1232	4946	3076
1233	4949	3072
1234	4953	3068
1235	4956	3063
1236	4961	3060
1237	4965	3056
1238	4968	3051
1239	4972	3047
1240	4976	3043
1241	4979	3039
1242	4983	3034
1243	4986	3030
1244	4990	3026
1245	4994	3022
1246	4998	3018
1247	5001	3013
1248	5005	3009
1249	5009	3005
1250	5013	3001
1251	5016	2997
1252	5020	2992
1253	5024	2988
1254	5027	2984
1255	5030	2980
1256	5034	2975
1257	5038	2972
1258	5042	2967
1259	5045	2963
1260	5049	2959
1261	5052	2954
1262	5055	2950
1263	5059	2945
1264	5062	2941
1265	5066	2937
1266	5069	2933
1267	5073	2928
1268	5076	2924
1269	5079	2919
1270	5083	2915
1271	5086	2911
1272	5090	2907
1273	5093	2902
1274	5098	2899
1275	5101	2894
1276	5104	2890
1277	5108	2885
1278	5111	2881
1279	5115	2877
1280	5118	2872
1281	5121	2868
1282	5126	2864
1283	5130	2860
1284	5133	2856
1285	5136	2852
1286	5140	2847
1287	5144	2843
1288	5147	2839
1289	5151	2835
1290	5155	2831
1291	5158	2826
1292	5162	2822
1293	5165	2818
1294	5169	2814
1295	5173	2810
1296	5176	2805
1297	5180	2801
1298	5184	2797
1299	5188	2793
1300	5191	2789
1301	5194	2785
1302	5198	2780
1303	5203	2777
1304	5207	2773
1305	5210	2768
1306	5214	2764
1307	5219	2761
1308	5222	2756
1309	5225	2752
1310	5231	2749
1311	5236	2745
1312	5243	2743
1313	5250	2741
1314	5254	2736
1315	5257	2732
1316	5261	2728
1317	5265	2724
1318	5269	2720
1319	5272	2716
1320	5276	2712
1321	5280	2708
1322	5284	2703
1323	5287	2699
1324	5291	2695
1325	5295	2691
1326	5298	2687
1327	5302	2683
1328	5305	2678
1329	5309	2674
1330	5312	2670
1331	5315	2665
1332	5319	2661
1333	5323	2657
1334	5326	2653
1335	5330	2649
1336	5333	2645
1337	5337	2640
1338	5340	2636
1339	5344	2632
1340	5347	2628
1341	5351	2623
1342	5358	2621
1343	5362	2617
1344	5366	2613
1345	5369	2609
1346	5373	2604
1347	5376	2600
1348	5380	2596
1349	5383	2592
1350	5387	2587
1351	5390	2583
1352	5395	2579
1353	5398	2575
1354	5402	2571
1355	5406	2567
1356	5409	2563
1357	5413	2559
1358	5416	2554
1359	5419	2550
1360	5424	2547
1361	5432	2544
1362	5443	2544
1363	5452	2542
1364	5458	2539
1365	5463	2535
